Date;PlayerID;DateTime;DateEndTime;DateStartTime;Exercise #;ExerciseID;TrainingID;TrainingSubtype;TrainingType;Duration;Duration_s;Duration_m
11-5-2018;4;00:00,0;32:16,3;28:15,8;Exercise 3;11;34;Complex technique;Technique ;0 days 00:04:00.440000000;240;4
11-5-2018;4;00:00,0;54:59,8;32:16,9;Exercise 4;40;34;Team pass;Complex 1;0 days 00:22:42.890000000;1362;22
11-5-2018;4;00:00,0;20:39,1;05:55,4;Exercise 1;82;34;Warming up & Cooling down;Physical;0 days 00:14:43.670000000;883;14
11-5-2018;4;00:00,0;28:15,2;20:39,6;Exercise 2;2;34;Complex technique;Technique ;0 days 00:07:35.590000000;455;7
11-5-2018;4;00:00,0;10:44,7;30:44,7;Exercise 1;82;35;Warming up & Cooling down;Physical;0 days 00:40:00.000000000;2400;40
11-5-2018;4;00:00,0;13:05,3;56:27,4;Exercise 5;79;34;Team pass;Complex 1;0 days 00:16:37.910000000;997;16
11-5-2018;4;00:00,0;20:29,4;13:05,9;Exercise 6;8;34;Technique team individueel;Technique ;0 days 00:07:23.520000000;443;7
11-5-2018;4;00:00,0;30:44,7;10:44,7;Exercise 2;83;35;Friendly;Competition;0 days 02:20:00.000000000;8400;140
12-5-2018;4;00:00,0;30:44,7;50:44,7;Exercise 1;82;36;Warming up & Cooling down;Physical;0 days 00:40:00.000000000;2400;40
12-5-2018;4;00:00,0;42:22,3;33:22,9;Exercise 1;0;37;Warming up & Cooling down;Physical;0 days 00:08:59.390000000;539;8
12-5-2018;4;00:00,0;46:20,4;42:23,1;Exercise 2;63;37;Warming up & Cooling down;Physical;0 days 00:03:57.350000000;237;3
12-5-2018;4;00:00,0;15:44,7;30:44,7;Exercise 2;83;36;Friendly;Competition;0 days 01:45:00.000000000;6300;105
12-5-2018;4;00:00,0;03:01,8;52:20,6;Exercise 4;84;37;Team pass;Complex 1;0 days 00:10:41.180000000;641;10
12-5-2018;4;00:00,0;29:05,5;18:04,9;Exercise 6;79;37;Team pass;Complex 1;0 days 00:11:00.580000000;660;11
12-5-2018;4;00:00,0;18:04,1;03:01,8;Exercise 5;35;37;pass-set-attack;Complex 1;0 days 00:15:02.330000000;902;15
12-5-2018;4;00:00,0;52:19,4;46:21,7;Exercise 3;11;37;Complex technique;Technique ;0 days 00:05:57.720000000;357;5
12-5-2018;4;00:00,0;41:11,3;32:11,3;Exercise 7;76;37;Serve;Technique ;0 days 00:09:00.000000000;540;9
13-5-2018;4;;;;;;;;;;;
